EnrollmentID,StudentID,CourseID,EnrollmentDate,CompletionDate,NumericGrade,LetterGrade,IsCompleted,IsActive
ENR001,STU001,COURSE001,2023-09-01,2023-12-15,85.5,B,true,true
ENR002,STU001,COURSE003,2023-09-01,2023-12-15,92.0,A,true,true
ENR003,STU001,COURSE004,2023-09-01,2023-12-15,78.0,C,true,true
ENR004,STU002,COURSE001,2023-09-01,2023-12-15,95.0,A,true,true
ENR005,STU002,COURSE002,2023-09-01,2023-12-15,88.0,B,true,true
ENR006,STU002,COURSE005,2023-09-01,2023-12-15,91.0,A,true,true
ENR007,STU003,COURSE001,2023-09-01,2023-12-15,72.0,C,true,true
ENR008,STU003,COURSE008,2023-09-01,2023-12-15,83.0,B,true,true
ENR009,STU004,COURSE002,2023-09-01,2023-12-15,96.0,A,true,true
ENR010,STU004,COURSE006,2023-09-01,2023-12-15,89.0,B,true,true
ENR011,STU005,COURSE003,2023-09-01,2023-12-15,87.0,B,true,true
ENR012,STU005,COURSE005,2023-09-01,2023-12-15,79.0,C,true,true
